Line,Movie,Character,Dialogue,Joy,Sadness,Disgust,Fear,Anger,Surprise,Calmness,Confusion,Anxiety,Lust
1,SW_EpisodeVI,SHUTTLE CAPTAIN,"Command station, this is ST 321. Code Clearance Blue. We're starting our approach. Deactivate the security shield.",0,0,0,0,0,0,10,0,2,0
2,SW_EpisodeVI,DEATH STAR CONTROLLER,The security deflector shield will be deactivated when we have confirmation of your code transmission. Stand by... You are clear to proceed.,0,0,0,0,0,0,10,0,0,0
3,SW_EpisodeVI,SHUTTLE CAPTAIN,We're starting our approach.,2,0,0,1,0,0,10,0,3,0
4,SW_EpisodeVI,OFFICER,Inform the commander that Lord Vader's shuttle has arrived.,0,0,0,5,0,0,8,0,5,0
5,SW_EpisodeVI,OPERATOR,"Yes, sir.",0,0,0,3,0,0,7,0,5,0
6,SW_EpisodeVI,JERJERROD,"Lord Vader, this is an unexpected pleasure. We're honored by your presence.",10,0,0,5,0,10,0,3,5,0
7,SW_EpisodeVI,VADER,"You may dispense with the pleasantries, Commander. I'm here to put you back on schedule.",0,0,5,0,8,0,10,0,0,0
8,SW_EpisodeVI,JERJERROD,"I assure you, Lord Vader, my men are working as fast as they can.",0,2,0,8,2,0,1,0,10,0
9,SW_EpisodeVI,VADER,Perhaps I can find new ways to motivate them.,0,0,5,0,10,0,10,0,0,0
10,SW_EpisodeVI,JERJERROD,"I tell you, this station will be operational as planned.",0,2,0,9,0,2,0,0,10,0
11,SW_EpisodeVI,VADER,The Emperor does not share your optimistic appraisal of the situation.,0,0,5,0,10,0,7,0,0,0
12,SW_EpisodeVI,JERJERROD,But he asks the impossible. I need more men.,0,4,0,7,0,0,0,4,8,0
13,SW_EpisodeVI,VADER,Then perhaps you can tell him when he arrives.,0,0,0,0,5,0,8,0,0,0
14,SW_EpisodeVI,JERJERROD,The Emperor's coming here?,2,1,1,4,0,8,0,10,6,0
15,SW_EpisodeVI,VADER,"That is correct, Commander. And he is most displeased with your apparent lack of progress.",0,4,6,0,8,0,6,0,0,0
16,SW_EpisodeVI,JERJERROD,We shall double our efforts.,2,1,0,5,0,0,0,0,7,0
17,SW_EpisodeVI,VADER,"I hope so, Commander, for your sake. The Emperor is not as forgiving as I am.",2,4,0,3,4,0,2,0,2,0
18,SW_EpisodeVI,THREEPIO,"Of course I'm worried. And you should be, too. Lando Calrissian and poor Chewbacca never returned from this awful place.",0,5,6,7,0,0,0,0,10,0
19,SW_EpisodeVI,THREEPIO,"Don't be so sure. If I told you half the things I've heard about this Jabba the Hutt, You'd probably short-circuit.",0,0,0,6,0,0,0,3,10,0
20,SW_EpisodeVI,THREEPIO,"Artoo, are you sure this is the right place? I better knock, I suppose.",0,0,0,7,0,3,0,10,4,0
21,SW_EpisodeVI,THREEPIO,There doesn't seem to be anyone there. Let's go back and tell Master Luke.,0,0,0,4,0,2,2,0,0,0
22,SW_EpisodeVI,STRANGE VOICE,Tee chuta hhat yudd!,0,0,0,3,7,0,0,0,0,0
23,SW_EpisodeVI,THREEPIO,Goodness gracious me!,0,0,4,10,0,10,0,5,10,0
24,SW_EpisodeVI,THREEPIO,Artoo Detoowha bo Seethreepiowha ey toota odd mischka Jabba du Hutt.,0,0,0,0,4,0,3,0,0,0
25,SW_EpisodeVI,THREEPIO,"I don't think they're going to let us in, Artoo. We'd better go.",0,3,0,4,2,0,1,6,5,0
26,SW_EpisodeVI,THREEPIO,"Artoo, wait. Oh, dear! Artoo. Artoo, I really don't think we should rush into all this.",0,0,0,7,0,10,0,0,7,0
27,SW_EpisodeVI,THREEPIO,"Oh, Artoo! Artoo, wait for me!",0,0,0,4,0,3,0,2,7,0
28,SW_EpisodeVI,THREEPIO,"Just you deliver Master Luke's message and get us out of here. Oh my! Oh! Oh, no.",0,0,2,5,0,10,0,0,7,0
29,SW_EpisodeVI,BIB,Die Wanna Wanga!,0,0,0,0,10,0,0,0,0,0
30,SW_EpisodeVI,THREEPIO,"Oh, my! Die Wanna Wauaga. We -- we bring a message to your master, Jabba the Hutt.",0,0,2,5,0,10,0,0,7,0
31,SW_EpisodeVI,THREEPIO,"... and a gift. Gift, what gift?",0,0,0,3,0,6,0,10,3,0
32,SW_EpisodeVI,BIB,Nee Jabba no badda. Me chaade su goodie.,0,0,0,0,3,0,6,0,0,0
33,SW_EpisodeVI,THREEPIO,He says that our instructions are to give it only to Jabba himself.,0,0,0,4,0,0,3,0,0,0
34,SW_EpisodeVI,THREEPIO,I'm terribly sorry. I'm afraid he's ever so stubborn about these sort of things.,0,8,0,4,0,0,0,0,6,0
