Line,Movie,Character,Dialogue,Joy,Sadness,Disgust,Fear,Anger,Surprise,Calmness,Confusion,Anxiety,Lust
1,SW_EpisodeV,LUKE,"Echo Three to Echo Seven. Han, old buddy, do you read me?",0,2,0,4,0,2,3,4,7,0
2,SW_EpisodeV,HAN,"Loud and clear, kid. What's up?",3,0,0,0,0,1,7,5,0,0
3,SW_EpisodeV,LUKE,"Well, I finished my circle. I don't pick up any life readings.",3,1,0,0,0,0,8,0,2,0
4,SW_EpisodeV,HAN,There isn't enough life on this ice cube to fill a space cruiser. The sensors are placed. I'm going back.,0,2,0,0,0,4,7,0,3,0
5,SW_EpisodeV,LUKE,Right. I'll see you shortly. There's a meteorite that hit the ground near here. I want to check it out. It won't take long.,0,0,0,0,0,4,8,0,1,0
6,SW_EpisodeV,LUKE,"Hey, steady girl. What's the matter? You smell something?",0,0,0,3,0,8,4,5,5,0
7,SW_EpisodeV,LUKE,Aaargh!,0,0,0,9,2,8,0,6,3,0
8,SW_EpisodeV,HAN,Chewie!,0,0,0,4,2,8,0,3,2,0
9,SW_EpisodeV,HAN,"All right, don't lose your temper. I'll come right back and give you a hand.",0,0,0,2,0,1,9,1,2,0
10,SW_EpisodeV,RIEEKAN,Solo?,0,0,0,3,2,7,4,4,3,0
11,SW_EpisodeV,HAN,"No sign of life out there, General. The sensors are in place. You'll know if anything comes around.",0,0,0,0,0,1,10,0,2,0
12,SW_EpisodeV,RIEEKAN,Commander Skywalker reported in yet?,0,0,0,0,0,0,10,0,0,0
13,SW_EpisodeV,HAN,No. He's checking out a meteorite that hit near him.,0,0,0,0,0,0,9,0,3,0
14,SW_EpisodeV,RIEEKAN,"With all the meteor activity in this system, it's going to be difficult to spot approaching ships.",0,0,0,0,0,0,10,0,3,0
15,SW_EpisodeV,HAN,"General, I've got to leave. I can't stay anymore.",0,0,0,2,0,1,5,0,7,0
16,SW_EpisodeV,RIEEKAN,I'm sorry to hear that.,0,2,4,0,3,0,8,2,0,0
17,SW_EpisodeV,HAN,"Well, there's a price on my head. If I don't pay off Jabba the Hut, I'm a dead man.",0,0,3,4,0,0,6,0,8,0
18,SW_EpisodeV,RIEEKAN,"A death mark's not an easy thing to live with. You're a good fighter, Solo. I hate to lose you.",0,2,0,0,0,0,9,0,3,0
19,SW_EpisodeV,HAN,"Thank you, General.",1,0,0,0,0,0,10,0,0,0
20,SW_EpisodeV,HAN,"Well, Your Highness, I guess this is it.",3,2,0,0,0,0,10,0,0,6
21,SW_EpisodeV,LEIA,That's right.,3,6,2,0,0,0,9,0,0,3
22,SW_EpisodeV,HAN,"Well, don't get all mushy on me. So long, Princess.",3,3,0,0,0,0,9,0,3,8
23,SW_EpisodeV,LEIA,Han!,0,0,0,3,3,8,2,0,3,2
24,SW_EpisodeV,HAN,"Yes, Your Highnessness?",3,0,0,0,0,6,5,7,1,8
25,SW_EpisodeV,LEIA,I thought you decided to stay.,0,5,0,0,0,6,8,5,0,4
26,SW_EpisodeV,HAN,"Well, the bounty hunter we ran into on Ord Mantell changed my mind.",0,3,0,0,0,0,9,0,5,7
27,SW_EpisodeV,LEIA,"Han, we need you!",0,5,0,4,0,8,3,6,7,3
28,SW_EpisodeV,HAN,We?,0,0,0,0,0,6,5,9,0,8
29,SW_EpisodeV,LEIA,Yes.,0,4,0,0,0,0,9,0,0,6
30,SW_EpisodeV,HAN,"Oh, what about you need?",0,0,0,0,0,6,5,9,0,7
31,SW_EpisodeV,LEIA,I need? I don't know what you're talking about.,0,3,4,0,0,7,4,10,0,2
